from_id|to_id|app1|app2|app3|feeling1|feeling2|feeling3|moral_scheme_first|moral_scheme_second
0|1|3.3728969811789673|34.0048951364367|0|40|friendship|friendship
0|2|3.074233775686483|37.77187000224513|0|40|friendship|friendship
0|3|12.783377724465202|31.526303296786455|0|40|friendship|friendship
0|4|-0.8594370587660496|33.04796792053455|0|40|friendship|friendship
0|5|0.02580428009115945|38.94468027979754|0|40|friendship|friendship
1|0|0.9557000104083029|32.5645852653428|-0.6061703681518193|39.54678623372452|friendship|friendship
1|2|-2.583279797704899|-32.159651881302885|0|-40|feud|feud
1|3|4.5829401903383715|-39.79595784051893|0|-40|feud|feud
1|4|5.010887241535348|35.582558017791435|0|40|friendship|friendship
1|5|-1.3539522560505801|33.457824950212476|0|40|friendship|friendship
2|0|5.206204753248596|20.533622736293378|0|40|friendship|friendship
2|1|0.17051165736665547|-39.49538596146262|0|-40|feud|feud
2|3|-11.161771986341583|-32.92498417823853|-0.5506735830250415|-40.65646090798712|feud|feud
2|4|0.9413192410805129|-31.579159148143262|0|-40|feud|feud
2|5|2.5987705858147416|-37.52013059049366|0|-40|feud|feud
3|0|-3.9138278268368767|40.61442846025919|0|40|friendship|friendship
3|1|-5.3881379203788775|-27.39591253419892|0|-40|feud|feud
3|2|3.5653426904643775|-37.01133492513883|0|-40|feud|feud
3|4|-1.0473575376802318|-30.625128990689067|0|-40|feud|feud
3|5|-3.0874513104400902|-33.802088491882785|0|-40|feud|feud
4|0|2.713740281541358|39.254087615147974|0|40|friendship|friendship
4|1|7.783696985585803|25.166942104561755|0|40|friendship|friendship
4|2|-1.884913444868563|-37.16136335130997|0|-40|feud|feud
4|3|-6.889604675347066|-39.02418365713575|0|-40|feud|feud
4|5|3.3276476494259186|33.941858040062904|0|40|friendship|friendship
5|0|7.862705767300075|36.7829397851313|0|40|friendship|friendship
5|1|2.87461774686673|38.53412260764968|0.695433719996547|40.42839132358432|friendship|friendship
5|2|-5.937205748035707|-37.464901462524296|0.8548259030227792|-39.94094989744912|feud|feud
5|3|-1.5069240043321237|-27.87492569773371|0|-40|feud|feud
5|4|0.5187804148088666|35.20767631760188|-0.3801884603307646|39.65812074555044|friendship|friendship
